Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 11,51,"['Many', 'shows', 'cable', 'broadcast', 'networks', 'already', 'filmed', 'final', 'episodes', 'current', 'season', ',', 'viewers', 'could', 'see', 'impact', 'late', 'night', 'shows', ',', 'daytime', 'soap', 'operas', 'shows', '“', 'Saturday', 'Night', 'Live', ',', '”', 'could', 'early', 'ends', 'seasons', '.']",35,"['on', 'and', 'have', 'their', 'for', 'the', 'but', 'an', 'with', 'and', 'such', 'as', 'which', 'have', 'to', 'their']",16,0.31,
Sentence 12,40,"['“', 'Jimmy', 'Kimmel', 'Live', '!', '”', '“', 'Late', 'Show', 'Stephen', 'Colbert', '”', 'begin', 'airing', 'repeat', 'episodes', 'Tuesday', 'due', 'film', 'TV', 'writers', '’', 'strike', ',', 'sources', 'close', 'programs', 'told', 'CNN', '.']",30,"['and', 'The', 'with', 'will', 'on', 'to', 'the', 'and', 'to', 'the']",10,0.25,
Sentence 13,44,"['Show', 'host', 'Seth', 'Meyers', ',', 'picket', 'line', 'writer', 'SNL', 'last', 'strike', ',', 'also', 'prepared', 'viewers', 'Late', 'Night', 'Seth', 'Meyers', '’', 'air', 'strike', '.']",23,"['who', 'was', 'on', 'the', 'as', 'a', 'at', 'during', 'the', 'his', 'that', 'with', 'won', 't', 'be', 'on', 'the', 'if', 'there', 'is', 'a']",21,0.48,
Sentence 14,16,"['strike', 'comes', 'time', 'sides', 'say', 'feeling', 'financial', 'pain', '.']",9,"['The', 'at', 'a', 'when', 'both', 'they', 'are']",7,0.44,
Sentence 15,57,"['multi-employer', 'contract', 'WGA', 'AMPTP', ',', 'represents', 'Amazon', '(', 'AMZN', ')', ',', 'Apple', '(', 'AAPL', ')', ',', 'CBS', '(', 'VIAC', ')', ',', 'Disney', '(', 'DIS', ')', ',', 'NBC', 'Universal', ',', 'Netflix', '(', 'NFLX', ')', ',', 'Paramount', 'Global', ',', 'Sony', '(', 'SNE', ')', 'CNN', '’', 'parent', 'company', ',', 'Warner', 'Bros', '.']",49,"['The', 'is', 'between', 'the', 'and', 'which', 'and', 's']",8,0.14,
Sentence 16,2,"['Discovery', '.']",2,[],0,0.0,
Sentence 17,20,"['Many', 'companies', 'seen', 'drops', 'stock', 'price', ',', 'prompting', 'deep', 'cost', 'cutting', ',', 'including', 'layoffs', '.']",15,"['of', 'those', 'have', 'in', 'their']",5,0.25,
Sentence 18,45,"['writers', ',', 'many', '’', 'support', 'writing', 'alone', ',', 'suffering', 'reduced', 'job', 'opportunities', 'loss', 'sources', 'income', 'due', 'industry', 'shift', 'traditional', 'broadcast', 'cable', 'programming', 'streaming', 'services', '.']",25,"['But', 'the', 'of', 'whom', 'can', 't', 'themselves', 'with', 'are', 'from', 'and', 'the', 'of', 'some', 'of', 'to', 'an', 'from', 'and', 'to']",20,0.44,
Sentence 19,36,"['distance', 'two', 'sides', 'includes', 'lot', 'complex', 'rules', 'contract', 'provisions', 'would', 'make', 'little', 'sense', 'industry', ',', 'much', 'comes', 'money', '.']",19,"['The', 'between', 'the', 'a', 'of', 'and', 'that', 'to', 'those', 'not', 'in', 'the', 'but', 'of', 'it', 'down', 'to']",17,0.47,
Sentence 20,48,"['Writers', 'Guild', 'put', 'summary', 'two', 'sides', '’', 'bargaining', 'positions', 'says', 'union', '’', 'proposals', 'would', 'gain', 'writers', 'group', '$', '429', 'million', 'per', 'year', ';', 'AMPTP', '’', 'offer', '$', '86', 'million', 'per', 'year', '.']",32,"['The', 'out', 'a', 'of', 'the', 'in', 'which', 'it', 'the', 's', 'as', 'a', 'about', 's', 'is', 'about']",16,0.33,
Sentence 21,35,"['AMPTP', 'questioned', 'estimates', ',', 'pointing', '’', 'hypothetical', '’', 'unknown', 'many', 'movies', 'shows', 'would', 'ordered', 'renewed', 'three', 'years', 'contract', '.']",19,"['those', 'out', 'that', 'it', 's', 'because', 'it', 's', 'how', 'and', 'be', 'or', 'over', 'the', 'of', 'the']",16,0.46,
Sentence 22,28,"['members', 'WGA', 'currently', 'working', ',', 'strike', 'could', 'soon', 'idle', 'thousands', 'workers', 'sets', 'shows', 'movies', '.']",15,"['While', 'not', 'all', 'of', 'the', 'are', 'the', 'of', 'other', 'on', 'the', 'of', 'and']",13,0.46,
Sentence 23,28,"['strike', 'could', 'widespread', 'implications', 'industry', ',', 'economies', 'Southern', 'California', 'locations', ',', 'New', 'York', 'City', '.']",15,"['The', 'have', 'for', 'the', 'and', 'for', 'the', 'of', 'and', 'some', 'other', 'such', 'as']",13,0.46,
Sentence 24,34,"['could', 'many', '20,000', 'people', 'working', 'many', '600', 'productions', 'could', 'work', 'writers', 'shutdown', 'production', ',', 'according', 'estimate', 'AMPTP', '.']",18,"['There', 'be', 'as', 'as', 'on', 'as', 'as', 'who', 'be', 'out', 'of', 'if', 'the', 'to', 'an', 'from']",16,0.47,
Sentence 25,18,"['2007', 'strike', 'caused', 'estimated', '$', '2', 'billion', 'economic', 'damage', ',', 'mostly', 'Southern', 'California', '.']",14,"['The', 'an', 'in', 'in']",4,0.22,
Sentence 26,13,"['Adjusted', 'inflation', ',', 'comes', 'nearly', '$', '3', 'billion', 'today', '.']",10,"['for', 'that', 'to']",3,0.23,
Sentence 27,15,"['industry', 'changed', 'radically', '15', 'years', 'since', 'last', 'strike', 'ended', '.']",10,"['The', 'has', 'in', 'the', 'the']",5,0.33,
Sentence 28,20,"['changes', 'accelerated', 'since', 'last', 'round', 'negotiations', '2020', 'early', 'weeks', 'pandemic', '.']",11,"['Those', 'have', 'the', 'of', 'in', 'in', 'the', 'of', 'the']",9,0.45,
Sentence 29,28,"['rise', 'streaming', 'services', 'changed', 'way', 'audiences', 'consume', 'television', 'shows', 'movies', ',', 'studios', 'adjusted', 'business', 'models', 'attempt', 'respond', '.']",18,"['The', 'of', 'the', 'both', 'and', 'and', 'their', 'in', 'an', 'to']",10,0.36,
Sentence 30,24,"['Many', 'streaming', 'shows', 'much', 'shorter', 'seasons', ',', 'perhaps', 'eight', '10', 'episodes', ',', 'rather', '20', 'traditional', 'TV', 'shows', '.']",18,"['have', 'to', 'than', 'more', 'than', 'with']",6,0.25,
Sentence 31,14,"['Many', 'shows', 'also', 'employ', 'fewer', 'writers', 'staff', 'past', '.']",9,"['than', 'were', 'on', 'in', 'the']",5,0.36,
Sentence 32,14,"['means', 'less', 'opportunities', 'writers', 'work', 'earn', 'money', '.']",8,"['All', 'of', 'it', 'for', 'to', 'and']",6,0.43,
Sentence 33,15,"['addition', ',', 'big', 'dispute', 'writers', 'paid', '.']",7,"['In', 'there', 'is', 'a', 'as', 'to', 'how', 'are']",8,0.53,
Sentence 34,22,"['Writers', 'traditionally', 'gotten', 'residuals', 'show', 'wrote', 'sold', 'run', 'syndication', 'basic', 'cable', '.']",12,"['have', 'when', 'a', 'they', 'is', 'to', 'again', 'in', 'or', 'on']",10,0.45,
Sentence 35,16,"['’', 'important', 'source', 'income', 'many', 'writers', 'years', '.']",8,"['It', 's', 'been', 'an', 'of', 'for', 'over', 'the']",8,0.5,
Sentence 36,28,"['’', 'unlikely', 'get', 'meaningful', 'residuals', ',', ',', 'create', 'original', 'content', 'streaming', 'services', 'contracts', 'stand', 'today', '.']",16,"['But', 'they', 're', 'to', 'if', 'any', 'at', 'all', 'when', 'they', 'for', 'as']",12,0.43,
Sentence 37,29,"['streaming', 'services', 'poised', 'become', 'future', 'television', 'entertainment', ',', 'Guild', 'fighting', 'negotiations', 'kind', 'ongoing', 'compensation', 'streaming', 'services', '.']",17,"['With', 'to', 'the', 'of', 'the', 'was', 'in', 'these', 'for', 'some', 'of', 'from']",12,0.41,
Sentence 38,27,"['hunger', 'content', 'streaming', 'service', 'also', 'means', 'might', 'take', 'long', 'strike', 'start', 'impact', 'production', 'schedules', '.']",15,"['The', 'for', 'by', 'those', 'that', 'it', 'not', 'as', 'for', 'the', 'to', 'to']",12,0.44,
Sentence 39,24,"['Typically', 'broadcast', 'shows', 'due', 'air', 'start', 'fall', 'season', 'would', 'hiatus', 'next', 'couple', 'months', '.']",14,"['to', 'with', 'the', 'of', 'the', 'be', 'on', 'for', 'the', 'of']",10,0.42,
Sentence 40,15,"['productions', 'take', 'place', 'year-round', 'basis', 'today', 'past', '.']",8,"['But', 'on', 'a', 'more', 'than', 'in', 'the']",7,0.47,
Sentence 41,47,"['Although', 'many', 'streaming', 'services', 'yet', 'profitable', ',', 'provide', 'studios', 'source', 'income', 'subscribers', '’', 'monthly', 'fees', ',', 'making', 'less', 'dependent', 'advertising', 'revenue', 'might', 'lost', 'need', 'air', 'reruns', 'broadcast', 'cable', 'channels', '.']",30,"['are', 'not', 'they', 'the', 'with', 'a', 'of', 'from', 'them', 'on', 'that', 'be', 'from', 'the', 'to', 'on', 'or']",17,0.36,
Sentence 42,27,"['Streaming', 'services', 'also', 'massive', 'stockpile', 'older', 'content', 'could', 'keep', 'customers', 'satisfied', ',', 'least', 'temporarily', ',', 'await', 'new', 'shows', '.']",19,"['have', 'a', 'of', 'that', 'their', 'at', 'while', 'they']",8,0.3,
